,Actual,Predicted
0,piano_classical,piano_classical
1,piano_classical,piano_classical
2,piano_classical,piano_classical
3,rock,rock
4,piano_classical,piano_classical
5,piano_classical,piano_classical
6,rock,rock
7,rock,rock
8,piano_classical,piano_classical
9,piano_classical,piano_classical
10,rock,rock
11,piano_classical,piano_classical
12,piano_classical,piano_classical
13,piano_classical,piano_classical
14,piano_classical,piano_classical
15,piano_classical,piano_classical
16,piano_classical,piano_classical
17,piano_classical,piano_classical
18,piano_classical,piano_classical
19,rock,rock
20,piano_classical,piano_classical
21,piano_classical,piano_classical
22,piano_classical,piano_classical
23,piano_classical,piano_classical
24,piano_classical,piano_classical
25,piano_classical,piano_classical
26,rock,rock
27,piano_classical,piano_classical
28,rock,rock
29,piano_classical,piano_classical
30,piano_classical,piano_classical
31,piano_classical,piano_classical
32,piano_classical,piano_classical
33,piano_classical,piano_classical
34,piano_classical,piano_classical
35,rock,rock
36,piano_classical,piano_classical
37,piano_classical,piano_classical
38,piano_classical,piano_classical
39,piano_classical,piano_classical
40,piano_classical,piano_classical
41,piano_classical,piano_classical
42,piano_classical,piano_classical
43,piano_classical,piano_classical
44,rock,rock
45,piano_classical,piano_classical
46,piano_classical,piano_classical
47,rock,rock
48,piano_classical,piano_classical
49,piano_classical,piano_classical
50,piano_classical,piano_classical
51,piano_classical,piano_classical
52,piano_classical,piano_classical
53,piano_classical,piano_classical
54,piano_classical,piano_classical
55,rock,rock
56,rock,rock
57,piano_classical,piano_classical
58,piano_classical,piano_classical
59,piano_classical,piano_classical
60,rock,rock
61,piano_classical,piano_classical
62,piano_classical,piano_classical
63,piano_classical,piano_classical
64,rock,rock
65,piano_classical,piano_classical
66,rock,rock
67,piano_classical,piano_classical
68,piano_classical,piano_classical
69,piano_classical,piano_classical
70,rock,rock
71,piano_classical,piano_classical
72,piano_classical,piano_classical
73,piano_classical,piano_classical
74,piano_classical,piano_classical
75,piano_classical,piano_classical
76,piano_classical,piano_classical
77,piano_classical,piano_classical
78,piano_classical,piano_classical
79,rock,rock
80,piano_classical,piano_classical
81,piano_classical,piano_classical
82,rock,rock
83,piano_classical,piano_classical
84,piano_classical,piano_classical
85,piano_classical,piano_classical
86,rock,rock
87,rock,rock
88,piano_classical,piano_classical
89,rock,rock
90,piano_classical,piano_classical
91,piano_classical,piano_classical
92,piano_classical,piano_classical
93,piano_classical,piano_classical
94,piano_classical,piano_classical
95,piano_classical,piano_classical
96,piano_classical,piano_classical
97,piano_classical,piano_classical
98,rock,rock
99,rock,rock
100,piano_classical,piano_classical
101,piano_classical,piano_classical
102,piano_classical,piano_classical
103,piano_classical,piano_classical
104,piano_classical,piano_classical
105,piano_classical,piano_classical
106,rock,rock
107,piano_classical,piano_classical
108,rock,rock
109,piano_classical,piano_classical
110,rock,rock
111,piano_classical,piano_classical
112,piano_classical,piano_classical
113,piano_classical,piano_classical
114,piano_classical,piano_classical
115,piano_classical,piano_classical
