,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,uri,playlists
0,0.991,0.316,0.0235,0.959,0.118,-29.023,0.0394,128.317,spotify:track:29fmQieSET1jTSVOweXtEU,piano_classical
1,0.993,0.428,0.0108,0.924,0.0812,-27.554,0.0425,68.661,spotify:track:1LgjqqeUpcACk4a94SiinY,piano_classical
2,0.995,0.394,0.00773,0.903,0.104,-28.578,0.0565,97.123,spotify:track:7lN3hQiVTXx15VbpbAOCBo,piano_classical
3,0.987,0.214,0.0181,0.918,0.0672,-31.971,0.0404,82.601,spotify:track:7zz7GfqrIt5yzQh80u7fSO,piano_classical
4,0.984,0.298,0.0621,0.923,0.0836,-28.521,0.0335,69.105,spotify:track:3NKOJUp72U7JKSWkH80h0d,piano_classical
5,0.994,0.418,0.023,0.901,0.0804,-30.626,0.0414,63.876,spotify:track:3TSDII2pStZJfNZz48Ajfl,piano_classical
6,0.978,0.389,0.151,0.868,0.096,-20.264,0.0386,92.721,spotify:track:67HG3V6WywpBQFIBfAFmzp,piano_classical
7,0.994,0.296,0.0709,0.892,0.0807,-29.517,0.0462,127.086,spotify:track:5yWClRIxwId7cl0WSboGUk,piano_classical
8,0.993,0.356,0.00622,0.894,0.161,-32.704,0.034,70.09,spotify:track:5PVzKN7Wgjj1aCTzuXC7cO,piano_classical
9,0.996,0.357,0.00828,0.89,0.134,-36.369,0.0516,131.442,spotify:track:4YbCgidy639tSkiw8xfPVg,piano_classical
10,0.994,0.417,0.0174,0.873,0.0684,-27.388,0.0349,66.278,spotify:track:5eRfljNo9nICHm8i77T1rA,piano_classical
11,0.993,0.602,0.187,0.879,0.117,-19.758,0.051,129.04,spotify:track:7ck1Z4Owr2vLJ1N3gL95rC,piano_classical
12,0.966,0.16,0.0353,0.892,0.058,-29.437,0.0433,88.551,spotify:track:6TIODhqIHNPu1sj6Ovlohj,piano_classical
13,0.995,0.454,0.0118,0.839,0.13,-33.317,0.0348,73.131,spotify:track:36nUXJemPSYJmih86hD0Rx,piano_classical
14,0.982,0.126,0.036,0.939,0.102,-26.715,0.042,55.254,spotify:track:1JnTeYqXcanUro9ZshaLRD,piano_classical
15,0.992,0.305,0.00398,0.93,0.078,-30.301,0.0445,77.025,spotify:track:2Mg8JQRqMr2siK6OBhruGq,piano_classical
16,0.992,0.336,0.0305,0.91,0.0996,-23.434,0.0466,125.015,spotify:track:5qpUmfrVRpCrzjQXeouFVa,piano_classical
17,0.995,0.396,0.0312,0.893,0.0825,-25.392,0.0439,67.371,spotify:track:3F0eiSqRe2FagXFERuxaZZ,piano_classical
18,0.987,0.367,0.213,0.889,0.121,-19.354,0.036,106.035,spotify:track:17aUPlQ175ssLa191VMSL9,piano_classical
19,0.992,0.324,0.0283,0.919,0.0858,-24.514,0.0481,87.79,spotify:track:48Lc7bjOXN1z0AVA95K5tZ,piano_classical
20,0.995,0.428,0.0241,0.917,0.117,-27.441,0.0423,123.993,spotify:track:21xWSUuxVxovAqpnwgPbNP,piano_classical
21,0.961,0.116,0.0288,0.724,0.099,-28.827,0.0435,168.237,spotify:track:3cWcEchjhIV140CVEv3hBn,piano_classical
22,0.992,0.522,0.00104,0.695,0.0892,-39.11,0.0782,67.781,spotify:track:6kOMLLVKZbz7BmwSc9os0R,piano_classical
23,0.994,0.412,0.00336,0.93,0.0692,-39.934,0.0591,123.022,spotify:track:3RAvV2mtd4rqviu8CVypZY,piano_classical
24,0.995,0.658,0.000915,0.932,0.131,-27.42,0.611,135.553,spotify:track:3O5dtg5iwEE3eTNkepjNWB,piano_classical
25,0.992,0.659,0.000947,0.952,0.101,-24.893,0.439,134.425,spotify:track:46Ym9IRsv6pl2seb5KXXoJ,piano_classical
26,0.989,0.393,0.00345,0.918,0.0895,-29.078,0.0733,93.931,spotify:track:46YoUYIwgeoPpdZ5SRMy3u,piano_classical
27,0.995,0.54,0.00365,0.947,0.0716,-36.472,0.24,138.75,spotify:track:1FSA2rg9j9219nGJFTX9Zi,piano_classical
28,0.995,0.573,0.00171,0.943,0.089,-35.179,0.0917,134.7,spotify:track:5AbWKXF5909HSXzYUujl6G,piano_classical
29,0.996,0.508,0.00369,0.957,0.0764,-36.983,0.143,134.338,spotify:track:6mg0iJoT2YIXQuwOvsqCDV,piano_classical
30,0.974,0.376,0.0117,0.919,0.15,-31.387,0.0581,68.843,spotify:track:7DmTTinIQnUjaFkVzs1EnB,piano_classical
31,0.995,0.371,0.00254,0.936,0.084,-31.149,0.0701,68.133,spotify:track:2e99UI6nowSpnONgG5oYOa,piano_classical
32,0.996,0.382,0.003,0.941,0.0736,-37.472,0.0635,69.119,spotify:track:1Fl5oRylhaNywLDE46dnnn,piano_classical
33,0.995,0.268,0.00372,0.915,0.0763,-37.374,0.056,70.529,spotify:track:0lNNKx0eD8dO9RvRzMgMRm,piano_classical
34,0.994,0.329,0.00254,0.911,0.0758,-38.668,0.04,63.19,spotify:track:00qxo3h8iDZ6q8Sb7v66oJ,piano_classical
35,0.996,0.448,0.0155,0.838,0.109,-31.121,0.0554,110.675,spotify:track:71hlZFzBTV46fT1xAyN4Va,piano_classical
36,0.991,0.464,0.00594,0.928,0.132,-27.16,0.0693,73.021,spotify:track:6ePcVWMvbV8Q7TNsDIxRYU,piano_classical
37,0.995,0.322,0.0119,0.849,0.124,-31.579,0.0695,177.481,spotify:track:0wuRWAc4dVjpy9EOu4cCtF,piano_classical
38,0.995,0.43,0.00741,0.892,0.121,-28.484,0.0498,57.097,spotify:track:12RcHxUIclo5IZMg4YZYae,piano_classical
39,0.994,0.43,0.0497,0.92,0.0989,-28.11,0.0622,114.181,spotify:track:1PJrOTSZOktWuSDwztfxWd,piano_classical
40,0.995,0.415,0.00434,0.899,0.106,-30.838,0.057,112.122,spotify:track:3o3VxsSqEiOBNU8Y462XLk,piano_classical
41,0.981,0.206,0.0516,0.881,0.073,-29.198,0.0464,81.368,spotify:track:1Kl7iv27YON9C9l31RcDs3,piano_classical
42,0.978,0.18,0.0702,0.85,0.106,-27.038,0.0413,90.271,spotify:track:0A5NerlfAvJe85nDhMSxMl,piano_classical
43,0.979,0.278,0.0667,0.882,0.106,-25.776,0.049,87.848,spotify:track:47KRLoZ273vEJcLh5X0m2L,piano_classical
44,0.992,0.433,0.0948,0.924,0.114,-20.72,0.0467,92.628,spotify:track:3FZuVhgbx2PX2ibCdiyY4M,piano_classical
45,0.993,0.599,0.0204,0.929,0.117,-27.103,0.0937,110.811,spotify:track:1EbYrxzaOPdB6ApIVKL0E4,piano_classical
46,0.995,0.531,0.173,0.923,0.143,-28.331,0.0713,129.452,spotify:track:3Q9h3umdcS8TlQlUote0tV,piano_classical
47,0.99,0.355,0.0779,0.846,0.142,-21.005,0.0499,77.17,spotify:track:5Cgwg3kUgwxc0UHIS7eCqH,piano_classical
48,0.986,0.296,0.0782,0.923,0.133,-19.618,0.0473,69.47,spotify:track:4jYnjtayiQPNcx2xCO1ioN,piano_classical
49,0.97,0.658,0.0112,0.929,0.0681,-25.583,0.434,135.997,spotify:track:35dYTbQzSqpNKqEDWkH3Sn,piano_classical
50,0.99,0.617,0.000752,0.884,0.0916,-23.292,0.418,77.131,spotify:track:3HtmWHWX1UEahlyasWzZXz,piano_classical
51,0.977,0.577,0.000806,0.898,0.0767,-22.742,0.925,173.616,spotify:track:3Qy39n9axvUI6HkcD8Tlwf,piano_classical
52,0.985,0.661,0.000818,0.898,0.0872,-22.009,0.94,131.7,spotify:track:6bdtMii5vbcG9eeS2UTqpi,piano_classical
53,0.977,0.655,0.000605,0.959,0.0782,-22.156,0.901,136.353,spotify:track:5kklMzjKTFPXU038ftNLWI,piano_classical
54,0.995,0.64,0.0126,0.926,0.0839,-30.797,0.332,88.254,spotify:track:5wlb7QLHplDPgspteGuJwe,piano_classical
55,0.97,0.681,0.0011,0.687,0.0982,-36.581,0.302,129.002,spotify:track:2s85EkEXnxlmhmdMWgTiyZ,piano_classical
56,0.992,0.677,0.0129,0.853,0.0747,-24.761,0.487,131.699,spotify:track:3d9GvcUIl6LOvbuLo9qgx0,piano_classical
57,0.994,0.674,0.0106,0.917,0.0929,-27.021,0.114,136.104,spotify:track:12nAoQxN7QgirKJQX5Sa4v,piano_classical
58,0.993,0.669,0.0141,0.91,0.0755,-29.254,0.427,132.355,spotify:track:4X11kmhMGYqXzFv7BDkNdh,piano_classical
59,0.995,0.614,0.00123,0.941,0.0874,-30.915,0.116,134.003,spotify:track:577pbZtiuhGix2o0cGNejJ,piano_classical
60,0.994,0.611,0.000583,0.965,0.0725,-29.239,0.453,79.486,spotify:track:4ALcqtEdHDR9fKUnvoGmEm,piano_classical
61,0.996,0.332,0.000361,0.973,0.0703,-43.93,0.0691,167.661,spotify:track:4veCLtrt4f4b1OnmqJUq63,piano_classical
62,0.996,0.629,0.00223,0.935,0.0731,-28.98,0.556,76.867,spotify:track:4VdcVuOdRFXAwWvux5XuIY,piano_classical
63,0.994,0.54,0.00111,0.962,0.0773,-30.122,0.27,205.603,spotify:track:5uSdWTCAz0DU5HoNDyhzWe,piano_classical
64,0.995,0.674,0.00122,0.958,0.0751,-30.495,0.0946,77.889,spotify:track:2Ern0Jrg3r5fDdvQMCthsq,piano_classical
65,0.996,0.643,0.00179,0.973,0.117,-35.172,0.185,128.734,spotify:track:7ekLaZUn9NFx8yYNVisDQ8,piano_classical
66,0.995,0.732,0.00181,0.963,0.109,-27.258,0.413,77.676,spotify:track:5UdEv4nCq0fB8g2SJhzHa8,piano_classical
67,0.994,0.643,0.000271,0.958,0.0882,-26.889,0.648,128.59,spotify:track:0j3ZbuAe5TE0NKNyqoW6S7,piano_classical
68,0.993,0.672,0.00796,0.963,0.0991,-33.064,0.409,133.019,spotify:track:3lqSbWnZFrK9b0VmgokzIH,piano_classical
69,0.996,0.0,0.0851,0.94,0.111,-26.836,0.0,0.0,spotify:track:6g4idRyOT7qtIH19m6VEpv,piano_classical
70,0.996,0.44,0.00105,0.935,0.0983,-40.723,0.19,63.077,spotify:track:1mBEVxtILjTiwEZVW42IlN,piano_classical
71,0.995,0.359,0.0555,0.912,0.161,-23.828,0.0437,93.214,spotify:track:5TDylcTZ1MKM1hBpyzVlRC,piano_classical
72,0.994,0.451,0.0267,0.866,0.111,-25.986,0.0563,64.591,spotify:track:6qZ6cH9Tvb20otA2xEhZoO,piano_classical
73,0.989,0.394,0.0986,0.862,0.113,-21.641,0.0359,97.793,spotify:track:1LPFs3EBP6uQXWhI87qLtT,piano_classical
74,0.994,0.469,0.0991,0.887,0.174,-23.127,0.0336,91.475,spotify:track:6eRRFinQ3CqVCiQBvd8oXR,piano_classical
75,0.993,0.535,0.194,0.842,0.0948,-19.165,0.0443,93.843,spotify:track:1Xg5y2etbsZAcxbUB8SlF4,piano_classical
76,0.993,0.567,0.132,0.945,0.172,-24.914,0.0478,95.671,spotify:track:5agpGCPDpKfZpMl8WMDJjH,piano_classical
77,0.993,0.549,0.0977,0.93,0.109,-22.011,0.293,209.721,spotify:track:2eaKkQf0UzTg9MXfEK1s1U,piano_classical
